bron_naam;bron_id;x_coord;y_coord;ingebruik;uitgebruik;MWth_max;bron_vol;bron_cap;T_bron;Ki_kW_min;Ki_kW_max;K_GJ;capaciteit_benuttingsfactor;SourceType
Super West BV;1509;4.85789;52.3715;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00171157;LT
Supermarkt Peperkamp BV;1510;4.92381;52.3505;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.0004065;LT
Supermarkt Reigersbos BV;1511;4.97612;52.2945;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00016436;LT
Supermarkt Verboom BV;1512;4.98755;52.2969;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00016436;LT
Tanger Supermarkten Slotermeer BV;1513;4.82162;52.3807;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
VOMAR Voordeelmarkt BV;1514;4.93153;52.3535;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
VOMAR Voordeelmarkt BV;1515;4.84611;52.3793;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.76602014;LT
VOMAR Voordeelmarkt BV;1516;4.8013;52.3791;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
VOMAR Voordeelmarkt BV;1517;4.95555;52.315;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.04951321;LT
VOMAR Voordeelmarkt BV;1518;4.96326;52.2999;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00396657;LT
VOMAR Voordeelmarkt BV;1519;4.92381;52.3505;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.0004065;LT
Warea BV;1520;4.95539;52.3928;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00057076;LT
Albert Heijn BV;1690;4.66373;52.4968;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;1691;4.66067;52.4826;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00195765;LT
Aldi;1692;4.66802;52.4853;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
Aldi;1693;4.66455;52.4958;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0;LT
Deka Supermarkten BV;1694;4.65761;52.4939;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
Deka Supermarkten BV;1695;4.66635;52.4846;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Dekamarkt NV;1696;4.668;52.4852;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0;LT
VOMAR Voordeelmarkt BV;1697;4.651;52.4889;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00484007;LT
VOMAR Voordeelmarkt BV;1698;4.66196;52.4927;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0;LT
Nijenhuis Supermarkt;1701;5.26521;52.2868;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0.429584383;LT
Supermarkt Ton Blaricum BV;1702;5.24368;52.2735;1999;1999;0.485872099;0.7;0.3;30;50;250;0;0.131046938;LT
Albert Heijn BV;1703;4.60883;52.3907;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.53409167;LT
P  Hulsbosch VOF;1704;4.57513;52.3196;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00518469;LT
Stach BV;1705;4.60754;52.388;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.53409167;LT
Zwetsloot Retail BV;1706;4.5996;52.3207;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0.63859284;LT
Albert Heijn BV;1896;4.96343;52.3424;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00103061;LT
Aldi;1897;4.95714;52.3335;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.06801148;LT
Deen Winkels BV;1898;4.96214;52.3418;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00103061;LT
M  en A  Cincil VOF;1899;4.97777;52.3498;1999;1999;0.113370123;0.7;0.3;30;50;250;0;0;LT
Super Vlaanderen;1900;4.95714;52.3335;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.06801148;LT
Deen Winkels BV;1959;5.07225;52.4937;1999;1999;0.048587222;0.7;0.3;30;50;250;0;1.00474375;LT
Deen Winkels BV;1960;5.07004;52.4993;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.00474375;LT
Deen Winkels BV;1961;5.05305;52.4978;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00240294;LT
Deen Winkels BV;1962;5.05298;52.5072;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00240294;LT
VOMAR Voordeelmarkt BV;1963;5.07352;52.51;1999;1999;0.242936049;0.7;0.3;30;50;250;0;0;LT
Albert Heijn BV;2149;5.02221;52.3349;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00228895;LT
Albert Heijn BV;2150;5.18369;52.2682;1999;1999;0.242936049;0.7;0.3;30;50;250;0;1.0025023;LT
Albert Heijn BV;2151;5.16595;52.2716;1999;1999;0.113370123;0.7;0.3;30;50;250;0;1.00157805;LT
Albert Heijn BV;2152;5.16275;52.2962;1999;1999;0.048587222;0.7;0.3;30;50;250;0;0.775572036;LT
Albert Heijn BV;2153;5.16094;52.2758;1999;1999;0.485872099;0.7;0.3;30;50;250;0;1.00000178;LT
Albert Heijn BV;2154;5.17161;52.2884;1999;1999;0.242936049;0.7;0.3;30;50;250;0;5.12733053;LT
